Unnamed: 0,Product,Review_Summary,Rating
33151,Hafele Aqua 12S Free Standing 12 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"After doing so much research i finally decided to buy hafele dishwasher. I got it just for 23990 and i am very happy with my purchase. Dishwasher is giving great results. All utensils are shining after wash. I am impressed with the build quality of dishwasher as well. They have given steel drum, adjustable  racks which is very useful.",5
33152,Hafele Aqua 12S Free Standing 12 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Good,5
33153,Hafele Aqua 12S Free Standing 12 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Almost 2 months completed. So far no issues. Mine detergent dispenser got broken in 3 weeks. I had follow with haffele support. They ordered and replaced that spare parts with in a week. But charged 600 for labour charge. Almost 2 months completed. So far it is good and mom is happy with the product. If power cut it will restart it automatically where it's left. Even this features is missing in 45k LG machine,4
33154,Hafele Aqua 12S Free Standing 12 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,It's good,5
33155,Hafele Aqua 12S Free Standing 12 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"Performance of this dishwasher is awesome, no till now.",5
33156,Hafele Aqua 12S Free Standing 12 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"Everything is ok 4.5 starsIf the machine has timing digital display, super",4
33157,Hafele Aqua 12S Free Standing 12 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Good product to buy,5
33158,Hafele Aqua 12S Free Standing 12 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,SUITABLE FOR FOUR MEMBER FAMILY. TECHNICALLY ALSO GOOD,5
33159,Hafele Aqua 12S Free Standing 12 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"Good dishwasher , Go for it",5
33160,Hafele Aqua 12S Free Standing 12 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Its excellent,4
33161,Hafele Aqua 12S Free Standing 12 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Good,5
33162,Hafele Aqua 12S Free Standing 12 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Using it for last 2 months. Amazing option. Easy to install.,5
33163,Hafele Aqua 12S Free Standing 12 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,It is good,4
33164,Hafele Aqua 12S Free Standing 12 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"Great product, works great, utensils come sparkling clean",5
33165,Hafele Aqua 12S Free Standing 12 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Good one,4
33166,Hafele Aqua 12S Free Standing 12 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Perfect dishwasher..,5
33167,Hafele Aqua 12S Free Standing 12 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Good,5
33168,Hafele Aqua 12S Free Standing 12 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Excellent productHad purchased just only in 23999Great dealPerformance is beyond imagination.  Simply awesome hassle free washingGlassware & steel Indian untensils.  Washed so nicely,5
