Unnamed: 0,Product,Review_Summary,Rating
151043,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",I love it ?,5
151044,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Nice product according to price,3
151045,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Price ka according good ??ø?? Perfect size and good quality ?Thank you shophy,5
151046,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Awesome,5
151047,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Good product as per their price of 399,5
151048,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Good product very good shoes,5
151049,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Very good perfect size and quality,5
151050,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Thanks you Flipkart??????,5
151051,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Good quality,4
151052,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Really good shoe ???? and good quality thankyou Flipkart...??????,5
151053,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Really good shoe ???? and good quality thankyou Flipkart...??????,5
151054,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Very good,5
151055,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Worst quality,1
151056,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Very good product very comfortable with low price,4
151057,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Not bad Not best Ok product,3
151058,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Cool shoes,5
151059,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Nice product ???????,5
151060,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Very nice product and fully use of money every one try it and it is very comfortable ..,5
151061,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Awsome product Shoes for college,5
151062,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Average product light weight shoes ????,3
151063,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Comfortable ???? shoes and good looking,5
151064,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Laces are very short but at this price good,3
151065,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",A FINE PRODUCT....,4
151066,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",very good product,5
151067,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)","The product is so very poor quality ????, waste of money",1
151068,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Super,5
151069,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Good quality ????,5
151070,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Nice product,5
151071,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Great product in this range,5
151072,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Value for money,4
151073,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",It's a cool product,3
151074,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Very good product ???? good quality !!,4
151075,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Looking nice,3
151076,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",So beautiful,3
151077,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Nice ??????,5
151078,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",The shoes are suppeb and comfortable thanks Flipkart,5
151079,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Nice shoe,4
151080,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Nyc,4
151081,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",God product,4
151082,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Not good. Product,1
