Unnamed: 0,Product,Review_Summary,Rating
33220,LG DFB424FW Free Standing 14 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"Benifits experienced:1.Saves water2.with long time cycles like auto, Cleaning is better than hand cleaning. It adds a new shine to old steel pots and dishes.Limitations1. Takes long time of 3 hours for good cleaning by auto mode.2. Turbo mode has short time duration of 1 hour but it doesn't clean properly3. On power cut, machine don't resume from where it stopped.4. Cost of device is more5. detergent, rinse aid, and salt Is not easily available in local market.and it's very costly.",4
33221,LG DFB424FW Free Standing 14 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Excellent machine This dishwasher has very good build quality and it wash utensils very shiny and clean. This is very useful product and don??t go with negative reviews. It does its work very well. And for connecting dishwasher with water supply you need 3/4 inch male connector.,5
33222,LG DFB424FW Free Standing 14 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"Wait a little more, price will come down further to BOSCH models. Till date I do not know if steam is at all  useful. I just hate the white led digital display, you have to really adjust your eyes to figure out the actual number displayed. It should have been non fancy simple display.",3
33223,LG DFB424FW Free Standing 14 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"Waste of water & waste of electricity, not resume ofter power cut, Misson starting taking 3 hr time, 3 times power cut, then mission Time comes 3 hr s every power cut time soo don??t waste of money.",1
33224,LG DFB424FW Free Standing 14 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,product works very silent and excellent with accuracy.,5
33225,LG DFB424FW Free Standing 14 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,excellent product,5
33226,LG DFB424FW Free Standing 14 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"Its performing very well without any problem. Satisfied very much. In my area, there's no power cut usually. So those people who's area there is no power shortage, can definitely buy this???",5
33227,LG DFB424FW Free Standing 14 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Great product. One of the best from LG line ups,5
33228,LG DFB424FW Free Standing 14 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,This product is very good and helpful in dish washing.,5
33229,LG DFB424FW Free Standing 14 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"One of the best dishwashers available in the market.Good thing is unlike IFB or Bosch, you don't have to pay for tablets/water softener etc for it during installation.",5
33230,LG DFB424FW Free Standing 14 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Machine works very good. Very much satisfied. Cleaning quality is superb.,5
33231,LG DFB424FW Free Standing 14 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Good product,4
33232,LG DFB424FW Free Standing 14 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Worth full product,4
