Unnamed: 0,Product,Review_Summary,Rating
97649,"Lenovo IdeaPad 3 Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 81WQ00MQIN|81WQ00NXIN LaptopÂ Â (15.6 Inch, Platinum Grey, 1.7 Kg, With MS Office)",No battery backup,3
97650,"Lenovo IdeaPad 3 Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 81WQ00MQIN|81WQ00NXIN LaptopÂ Â (15.6 Inch, Platinum Grey, 1.7 Kg, With MS Office)",It is a good system for studying...,5
97651,"Lenovo IdeaPad 3 Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 81WQ00MQIN|81WQ00NXIN LaptopÂ Â (15.6 Inch, Platinum Grey, 1.7 Kg, With MS Office)",Very good Laptop Thank you Flipkart,5
97652,"Lenovo IdeaPad 3 Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 81WQ00MQIN|81WQ00NXIN LaptopÂ Â (15.6 Inch, Platinum Grey, 1.7 Kg, With MS Office)",Very good laptop for study and office work,5
97653,"Lenovo IdeaPad 3 Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 81WQ00MQIN|81WQ00NXIN LaptopÂ Â (15.6 Inch, Platinum Grey, 1.7 Kg, With MS Office)",Battery backup is very very bad,2
97654,"Lenovo IdeaPad 3 Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 81WQ00MQIN|81WQ00NXIN LaptopÂ Â (15.6 Inch, Platinum Grey, 1.7 Kg, With MS Office)",Not value for money,1
97655,"Lenovo IdeaPad 3 Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 81WQ00MQIN|81WQ00NXIN LaptopÂ Â (15.6 Inch, Platinum Grey, 1.7 Kg, With MS Office)",Not value for money,3
97656,"Lenovo IdeaPad 3 Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 81WQ00MQIN|81WQ00NXIN LaptopÂ Â (15.6 Inch, Platinum Grey, 1.7 Kg, With MS Office)",In this price products was osm.... Go fr it...,5
97657,"Lenovo IdeaPad 3 Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 81WQ00MQIN|81WQ00NXIN LaptopÂ Â (15.6 Inch, Platinum Grey, 1.7 Kg, With MS Office)",Poor display and performance,1
97658,"Lenovo IdeaPad 3 Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 81WQ00MQIN|81WQ00NXIN LaptopÂ Â (15.6 Inch, Platinum Grey, 1.7 Kg, With MS Office)",I am dissatisfied with the battery life. Though it's noted to last for eight hours with a full charge it lasts for five hours only.,3
97659,"Lenovo IdeaPad 3 Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 81WQ00MQIN|81WQ00NXIN LaptopÂ Â (15.6 Inch, Platinum Grey, 1.7 Kg, With MS Office)",Nice ðð product,5
97660,"Lenovo IdeaPad 3 Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 81WQ00MQIN|81WQ00NXIN LaptopÂ Â (15.6 Inch, Platinum Grey, 1.7 Kg, With MS Office)",Its Good electronic product  thank u Flipkart,5
97661,"Lenovo IdeaPad 3 Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 81WQ00MQIN|81WQ00NXIN LaptopÂ Â (15.6 Inch, Platinum Grey, 1.7 Kg, With MS Office)",So far good,5
97662,"Lenovo IdeaPad 3 Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 81WQ00MQIN|81WQ00NXIN LaptopÂ Â (15.6 Inch, Platinum Grey, 1.7 Kg, With MS Office)",Lenovo Laptop is to slow,3
