Unnamed: 0,Product,Review_Summary,Rating
173013,Classic Essentials Pack of 61 Stainless Steel Dinner Set|Kitchen set for Home|Heavy Gauge|PermanentLaser Engraving-Glory Dinner SetÂ Â (Steel),Overall the product is good.... It comes in a very safe and impressive packaging... Quality is also nice at this price and looks very classic as it is named ð,4
173014,Classic Essentials Pack of 61 Stainless Steel Dinner Set|Kitchen set for Home|Heavy Gauge|PermanentLaser Engraving-Glory Dinner SetÂ Â (Steel),best product and very heavy but boul is so small and nife is extra free for me thank eu flipkart,5
173015,Classic Essentials Pack of 61 Stainless Steel Dinner Set|Kitchen set for Home|Heavy Gauge|PermanentLaser Engraving-Glory Dinner SetÂ Â (Steel),"Quality of the dinner set is very good . Strength , design and the finising is awesome ... also the variety in the set is commendable . We are moving to our new house so my mom asked me to ordered this and she is very happy with the product. Anyone who wants to buy can surely go for this ... Thank you flipkart ðð",5
173016,Classic Essentials Pack of 61 Stainless Steel Dinner Set|Kitchen set for Home|Heavy Gauge|PermanentLaser Engraving-Glory Dinner SetÂ Â (Steel),"Wow Quality of this product is tremendous , I am verymuch satisfied on its finishing & artwork. also I can say a it's a smart purchase and I am planning to purchase one more for my Mom .regardsSaroj Kumar Dhal. Bangalore",5
173017,Classic Essentials Pack of 61 Stainless Steel Dinner Set|Kitchen set for Home|Heavy Gauge|PermanentLaser Engraving-Glory Dinner SetÂ Â (Steel),Very good quality product,5
173018,Classic Essentials Pack of 61 Stainless Steel Dinner Set|Kitchen set for Home|Heavy Gauge|PermanentLaser Engraving-Glory Dinner SetÂ Â (Steel),Amazing set or amazing quality i like this product so much thanku flipkart to giving us best quality of products,4
173019,Classic Essentials Pack of 61 Stainless Steel Dinner Set|Kitchen set for Home|Heavy Gauge|PermanentLaser Engraving-Glory Dinner SetÂ Â (Steel),"Product is really good , they are heavy in weight and better finishing, everything is good only small bowl is too small and glasses could be little bit big . Otherwise everything is good .",5
173020,Classic Essentials Pack of 61 Stainless Steel Dinner Set|Kitchen set for Home|Heavy Gauge|PermanentLaser Engraving-Glory Dinner SetÂ Â (Steel),Excellent great quality for the price am fully happy thank u flipkart,5
173021,Classic Essentials Pack of 61 Stainless Steel Dinner Set|Kitchen set for Home|Heavy Gauge|PermanentLaser Engraving-Glory Dinner SetÂ Â (Steel),I got this product bit delay but it's okay. My product is too good and pure stainless steel. Thank You Flipkart.,5
173022,Classic Essentials Pack of 61 Stainless Steel Dinner Set|Kitchen set for Home|Heavy Gauge|PermanentLaser Engraving-Glory Dinner SetÂ Â (Steel),"this product was not good ..1 full plate ,4 quarter plate,tray quality is very poor......m not happy with this product..I want to refund my money",1
173023,Classic Essentials Pack of 61 Stainless Steel Dinner Set|Kitchen set for Home|Heavy Gauge|PermanentLaser Engraving-Glory Dinner SetÂ Â (Steel),quality of plates are good. but the cutlery given with the set has no flower design as shown in pictures and the serving bowls is not that well built..so over all good buy but not the best,3
173024,Classic Essentials Pack of 61 Stainless Steel Dinner Set|Kitchen set for Home|Heavy Gauge|PermanentLaser Engraving-Glory Dinner SetÂ Â (Steel),"very nice products..  except for the 3 serving handi.. not too tough as other products in the kit.. very light weight... dishes, spoons glass bowls otherwise as expected.. worth buying",4
173025,Classic Essentials Pack of 61 Stainless Steel Dinner Set|Kitchen set for Home|Heavy Gauge|PermanentLaser Engraving-Glory Dinner SetÂ Â (Steel),Beautiful finishing and great laser design.. so far so good .. hope it last for years .. but Chutney bowls are too small like baby girls kitchen game toys and serving spoons are similar like tea spoon.. I hope serving spoon should design little bigger to make it capable of pick up the food.,4
173026,Classic Essentials Pack of 61 Stainless Steel Dinner Set|Kitchen set for Home|Heavy Gauge|PermanentLaser Engraving-Glory Dinner SetÂ Â (Steel),very nice and strong steel plates. the carved design looks good and is shiny & heavy. good quality.  the serving bowls are smaller and could have been bigger for better usability,5
173027,Classic Essentials Pack of 61 Stainless Steel Dinner Set|Kitchen set for Home|Heavy Gauge|PermanentLaser Engraving-Glory Dinner SetÂ Â (Steel),amazing product..... I love it soooooo much.... it originally the same which is in the picture and also in the description..... unbelievable... thank you Flipkart ....,5
173028,Classic Essentials Pack of 61 Stainless Steel Dinner Set|Kitchen set for Home|Heavy Gauge|PermanentLaser Engraving-Glory Dinner SetÂ Â (Steel),Great ðð,5
173029,Classic Essentials Pack of 61 Stainless Steel Dinner Set|Kitchen set for Home|Heavy Gauge|PermanentLaser Engraving-Glory Dinner SetÂ Â (Steel),Nice,5
173030,Classic Essentials Pack of 61 Stainless Steel Dinner Set|Kitchen set for Home|Heavy Gauge|PermanentLaser Engraving-Glory Dinner SetÂ Â (Steel),This product really awesome good quality,5
173031,Classic Essentials Pack of 61 Stainless Steel Dinner Set|Kitchen set for Home|Heavy Gauge|PermanentLaser Engraving-Glory Dinner SetÂ Â (Steel),amazing,4
173032,Classic Essentials Pack of 61 Stainless Steel Dinner Set|Kitchen set for Home|Heavy Gauge|PermanentLaser Engraving-Glory Dinner SetÂ Â (Steel),The set is really vry nic but we didnt expect that one spoon will b missing from the dinner set .we trust flipkart a lot.,4
