Unnamed: 0,Product,Review_Summary,Rating
48924,"Hari Darshan Mix Cones | Dry Dhoop Sticks |Lavender|Rose|Sandal|Mogra Sandal, Rose, Lavender, Jasmine Dhoop",No smell at all .. and Don't Even stand properly... Very dissatisfied,1
48925,"Hari Darshan Mix Cones | Dry Dhoop Sticks |Lavender|Rose|Sandal|Mogra Sandal, Rose, Lavender, Jasmine Dhoop",very useless product.dont buy. its  not burn properly.,1
48926,"Hari Darshan Mix Cones | Dry Dhoop Sticks |Lavender|Rose|Sandal|Mogra Sandal, Rose, Lavender, Jasmine Dhoop",Good smell and lasts quite long,5
48927,"Hari Darshan Mix Cones | Dry Dhoop Sticks |Lavender|Rose|Sandal|Mogra Sandal, Rose, Lavender, Jasmine Dhoop",such a brilliant cones..without any doubt go for it.,5
48928,"Hari Darshan Mix Cones | Dry Dhoop Sticks |Lavender|Rose|Sandal|Mogra Sandal, Rose, Lavender, Jasmine Dhoop",Nice,5
48929,"Hari Darshan Mix Cones | Dry Dhoop Sticks |Lavender|Rose|Sandal|Mogra Sandal, Rose, Lavender, Jasmine Dhoop",Good fragrance.  Good packing in a plastic jar.  Cute stand for sticks.,5
48930,"Hari Darshan Mix Cones | Dry Dhoop Sticks |Lavender|Rose|Sandal|Mogra Sandal, Rose, Lavender, Jasmine Dhoop",Bad product,1
48931,"Hari Darshan Mix Cones | Dry Dhoop Sticks |Lavender|Rose|Sandal|Mogra Sandal, Rose, Lavender, Jasmine Dhoop",Very good smell,5
48932,"Hari Darshan Mix Cones | Dry Dhoop Sticks |Lavender|Rose|Sandal|Mogra Sandal, Rose, Lavender, Jasmine Dhoop",Worst,1
48933,"Hari Darshan Mix Cones | Dry Dhoop Sticks |Lavender|Rose|Sandal|Mogra Sandal, Rose, Lavender, Jasmine Dhoop",Nice,4
48934,"Hari Darshan Mix Cones | Dry Dhoop Sticks |Lavender|Rose|Sandal|Mogra Sandal, Rose, Lavender, Jasmine Dhoop",Good,5
48935,"Hari Darshan Mix Cones | Dry Dhoop Sticks |Lavender|Rose|Sandal|Mogra Sandal, Rose, Lavender, Jasmine Dhoop",Beautiful sent and relaxes mind body and soul.. ð,5
48936,"Hari Darshan Mix Cones | Dry Dhoop Sticks |Lavender|Rose|Sandal|Mogra Sandal, Rose, Lavender, Jasmine Dhoop",Good fragrance.nice product,3
48937,"Hari Darshan Mix Cones | Dry Dhoop Sticks |Lavender|Rose|Sandal|Mogra Sandal, Rose, Lavender, Jasmine Dhoop","Size is small in comparison to other cones, smell is good.",3
48938,"Hari Darshan Mix Cones | Dry Dhoop Sticks |Lavender|Rose|Sandal|Mogra Sandal, Rose, Lavender, Jasmine Dhoop",Excellent,5
48939,"Hari Darshan Mix Cones | Dry Dhoop Sticks |Lavender|Rose|Sandal|Mogra Sandal, Rose, Lavender, Jasmine Dhoop",Nice and best fragrance item,5
48940,"Hari Darshan Mix Cones | Dry Dhoop Sticks |Lavender|Rose|Sandal|Mogra Sandal, Rose, Lavender, Jasmine Dhoop",Good product and worthy,5
48941,"Hari Darshan Mix Cones | Dry Dhoop Sticks |Lavender|Rose|Sandal|Mogra Sandal, Rose, Lavender, Jasmine Dhoop","after using 10 days, overall average, few didn't burn completely...., fragrance is ok, decent size of cone.",4
48942,"Hari Darshan Mix Cones | Dry Dhoop Sticks |Lavender|Rose|Sandal|Mogra Sandal, Rose, Lavender, Jasmine Dhoop",Not so good,3
48943,"Hari Darshan Mix Cones | Dry Dhoop Sticks |Lavender|Rose|Sandal|Mogra Sandal, Rose, Lavender, Jasmine Dhoop",Good smell,5
48944,"Hari Darshan Mix Cones | Dry Dhoop Sticks |Lavender|Rose|Sandal|Mogra Sandal, Rose, Lavender, Jasmine Dhoop",Nis,5
48945,"Hari Darshan Mix Cones | Dry Dhoop Sticks |Lavender|Rose|Sandal|Mogra Sandal, Rose, Lavender, Jasmine Dhoop",Mind blowing..,5
48946,"Hari Darshan Mix Cones | Dry Dhoop Sticks |Lavender|Rose|Sandal|Mogra Sandal, Rose, Lavender, Jasmine Dhoop",Gr8 scent awesome,5
48947,"Hari Darshan Mix Cones | Dry Dhoop Sticks |Lavender|Rose|Sandal|Mogra Sandal, Rose, Lavender, Jasmine Dhoop",Best,4
48948,"Hari Darshan Mix Cones | Dry Dhoop Sticks |Lavender|Rose|Sandal|Mogra Sandal, Rose, Lavender, Jasmine Dhoop",Not good,2
48949,"Hari Darshan Mix Cones | Dry Dhoop Sticks |Lavender|Rose|Sandal|Mogra Sandal, Rose, Lavender, Jasmine Dhoop",At dis rate it is really nice,4
48950,"Hari Darshan Mix Cones | Dry Dhoop Sticks |Lavender|Rose|Sandal|Mogra Sandal, Rose, Lavender, Jasmine Dhoop",Super,5
48951,"Hari Darshan Mix Cones | Dry Dhoop Sticks |Lavender|Rose|Sandal|Mogra Sandal, Rose, Lavender, Jasmine Dhoop",Ok,4
48952,"Hari Darshan Mix Cones | Dry Dhoop Sticks |Lavender|Rose|Sandal|Mogra Sandal, Rose, Lavender, Jasmine Dhoop",Not good,3
48953,"Hari Darshan Mix Cones | Dry Dhoop Sticks |Lavender|Rose|Sandal|Mogra Sandal, Rose, Lavender, Jasmine Dhoop","Nice product, I used daily",4
48954,"Hari Darshan Mix Cones | Dry Dhoop Sticks |Lavender|Rose|Sandal|Mogra Sandal, Rose, Lavender, Jasmine Dhoop",Love the fragrance... nice product,5
48955,"Hari Darshan Mix Cones | Dry Dhoop Sticks |Lavender|Rose|Sandal|Mogra Sandal, Rose, Lavender, Jasmine Dhoop",Very nice,4
